date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:37	50834/50834	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:02%20GMT	https://www.codeigniter.com/user_guide/	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/index.html	(from )
03:29:37	23/23	---M--	200	added ('OK')	text/plain	date:Tue,%2012%20Jun%202018%2014:20:31%20GMT	https://www.codeigniter.com/robots.txt		(from )
03:29:37	5430/5430	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:58%20GMT	https://www.codeigniter.com/user_guide/_static/ci-icon.ico	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/ci-icon.html	(from https://www.codeigniter.com/user_guide/)
03:29:37	2486/2486	---MCZ	200	added ('OK')	text/css	date:Tue,%2012%20Jun%202018%2014:22:10%20GMT	https://www.codeigniter.com/user_guide/_static/css/citheme.css	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/_static/css/citheme.css	(from https://www.codeigniter.com/user_guide/)
03:29:38	112594/112594	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:02%20GMT	https://www.codeigniter.com/user_guide/genindex.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/genindex.html	(from https://www.codeigniter.com/user_guide/)
03:29:38	33659/33659	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:03%20GMT	https://www.codeigniter.com/user_guide/search.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/search.html	(from https://www.codeigniter.com/user_guide/)
03:29:39	35719/35719	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:42%20GMT	https://www.codeigniter.com/user_guide/general/welcome.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/general/welcome.html	(from https://www.codeigniter.com/user_guide/)
03:29:39	15414/15414	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd49fa-3c36%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.6.2/modernizr.min.js	C:/Users/Strife/Downloads/Websites/CodeIgniter/cdnjs.cloudflare.com/ajax/libs/modernizr/2.6.2/modernizr.min.js	(from https://www.codeigniter.com/user_guide/)
03:29:39	37409/37409	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:45%20GMT	https://www.codeigniter.com/user_guide/installation/index.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/index.html	(from https://www.codeigniter.com/user_guide/)
03:29:40	39296/39296	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2014:21:45%20GMT	https://www.codeigniter.com/user_guide/installation/downloads.html	C:/Users/Strife/Downloads/Websites/CodeIgniter/www.codeigniter.com/user_guide/installation/downloads.html	(from https://www.codeigniter.com/user_guide/)
